site,area,Lx,Ly,adj lat abs,adj lat,lat,lat.absolute,spe.rich,spe.abu,N.global,ele.range,annu.temp,jan.temp,july.temp,map,soil.temp,soil.wetness
BCI,50,1000,500,10.41556126,10.41556126,9.1543,9.1543,301,203732,1510.51001,40,26.3,25.7,26.9,3025,23.69215698,81.76630402
BSZ,25,500,500,41.63423423,41.63423423,27.68,27.68,177,210959,588.2,223,12.8,4.3,21.4,2342,15.30114136,99.77503204
CBL,20,500,400,29.17288288,29.17288288,24.71666667,24.71666667,206,97201,588.1970215,131,19.6,7.6,22.8,1468,23.25279999,110.3477859
DHS,20,400,500,26.32265315,26.32265315,23.1695,23.1695,195,71461,1164.339966,240,22,13.4,28.8,1870,25.1,121.0010094
GTS,24,600,400,34.47972973,34.47972973,29.25,29.25,134,118673,680.185974,269,15.9,4,26.8,1430,20.61113434,119.6072006
HSD,50,1000,500,28.3736036,28.3736036,23.27,23.27,213,213954,733.981995,263,21.5,12.6,28.4,1719,26.28900146,95.28443146
JFL,60,1000,600,27.21278198,27.21278198,18.7308,18.7308,290,391686,877.072021,151,24.9,19.7,28.5,2102,19.38114166,110.5105667
LUQ,16,320,500,21.75412793,21.75412793,18.3262,18.3262,135,36655,1234.359985,95,25.6,23.4,27,2363,23.46816864,80.7
Nanling,20,500,400,35.10585586,35.10585586,24.91666667,24.91666667,229,132740,588.1970215,246,17.3,3.3,25.2,2022,17.13359528,106.9895859
Palanan,16,400,400,18.31407387,18.31407387,17.4402,17.4402,321,68173,1102.319946,50,25.1,22.5,26.6,2724,26.7,109.9099655
Pasoh,50,1000,500,3.702720721,3.702720721,2.982,2.982,911,262167,958.857971,20,26.3,25.7,26.4,1896,24.82795868,101.8287659
Puer,20,600,500,36.35435676,36.35435676,22.5976,22.5976,270,130915,877.072021,120,20.5,15.4,22.5,1528,16.84918365,91.76173401
Rabi,25,500,500,2.592169369,-2.592169369,-2.2228,2.2228,346,175661,845.336975,26,26.1,27.3,23.6,1943,23.96044922,79.86307526
TPK,20,400,500,24.23711081,24.23711081,22.4263,22.4263,172,81021,733.981995,112,23,15.7,28.6,2334,24.84898529,112.6296997
Utah,15.32,460,500,64.68702703,64.68702703,37.66,37.66,16,27458,1181.069946,136,2.6,-6.2,13.8,864,17.6649765,60.99322128
Wanang,50,1000,500,6.511261261,-6.511261261,-5.25,5.25,581,253530,1745.80005,100,26.5,26.8,25.8,3366,23.95,111.7945251
Yasuni,25,500,500,2.757972072,-2.757972072,-0.6859,0.6859,1070,145823,1345.800049,30,25.9,26.3,24.8,3270,22.48348846,98.58493042
