,sp,hsd
1,FORHIN,AM
2,HARVIL,AM
3,LAUPHA,AM
4,PYRSPE,AM
5,SINWIG,AM
6,ACETUT,AM
7,ADIMIL,AM
8,ADIPIL,AM
9,ALNCHI,AM
10,ALNFOR,AM
11,ALTCHI,AM
12,ANTMON,AM
13,ARDELE,AM
14,ARDPUN,AM
15,ARDQUI,AM
16,ARTHYP,AM
17,ARTSTY,AM
18,BAUPUR,AM
19,BEIFOR,AM
20,BEITSA,AM
21,BLACOC,AM
22,BREFRU,AM
23,BRESIN,AM
24,BRIMON,AM
25,CALKOC,AM
26,CALMAC,AM
27,CALSPE,AM
28,CAMCAU,AM
29,CAMCOR,AM
30,CAMOLE,AM
31,CAMSEM,AM
32,CAMSIN,AM
33,CANALB,AM
34,CARBRA,AM
35,CARDIP,AM
36,CASVIL,AM
37,CINAPP,AM
38,CINBUR,AM
39,CINCUS,AM
40,CINPAR,AM
41,CLEFOR,AM
42,CLEOBS,AM
43,CORSIN,AM
44,CRAPIN,AM
45,CROLAC,AM
46,CRYCON,AM
47,CUNLAN,AM
48,DAPCAL,AM
49,DAPOLD,AM
50,DENDEN,AM
51,DENJAP,AM
52,DICFEB,AM
53,DIOMOR,AM
54,DIOSTR,AM
55,DIPDUB,AM
56,DIPFRU,AM
57,DISRAC,AM
58,ELACHI,AM
59,ELADEC,AM
60,ELASYL,AM
61,ENGFEN,AM
62,ENGROX,AM
63,ENKSER,AM
64,ERIFRA,AM
65,EUNJAP,AM
66,EUOKWA,AM
67,EUOLAX,AM
68,EURACM,AM
69,EURAUR,AM
70,EURHEB,AM
71,EURJAP,AM
72,EURNIT,AM
73,EUSJAP,AM
74,EVOLEP,AM
75,EXBTON,AM
76,FICERE,AM
77,FICHIR,AM
78,FICHIS,AM
79,FICVAR,AM
80,FICVIR,AM
81,GARJAS,AM
82,GARMUL,AM
83,GLOERI,AM
84,GLOWRI,AM
85,HETBRE,AM
86,HOMCOC,AM
87,HUOBIA,AM
88,ILECHA,AM
89,ILEDAS,AM
90,ILEFRA,AM
91,ILEMEM,AM
92,ILEPUB,AM
93,ILEROT,AM
94,ILESUB,AM
95,ILETRI,AM
96,ILLDUN,AM
97,ITECHI,AM
98,IXORET,AM
99,LASCHI,AM
100,LINCHU,AM
101,LINMET,AM
102,LITACU,AM
103,LITELO,AM
104,LITGRE,AM
105,LITLAN,AM
106,LITROT,AM
107,LORCHI,AM
108,MACBRE,AM
109,MACCHI,AM
110,MACLIT,AM
111,MACSAM,AM
112,MACVEL,AM
113,MAEINS,AM
114,MANFOR,AM
115,MANKWA,AM
116,MELFOR,AM
117,MELMAL,AM
118,MELRIG,AM
119,MELSQU,AM
120,MICFOV,AM
121,MICGRA,AM
122,MICSKI,AM
123,MYTLAO,AM
124,NEOAUR,AM
125,NEOCHU,AM
126,NEOPHA,AM
127,OLEDIO,AM
128,ORMFOR,AM
129,ORMGLA,AM
130,ORMPAC,AM
131,PENEUR,AM
132,PHOPRU,AM
133,PITCLY,AM
134,PITGLA,AM
135,PITLUC,AM
136,POLPLA,AM
137,PREMIC,AM
138,PSYRUB,AM
139,PTEHET,AM
140,RAPNER,AM
141,REEPUB,AM
142,REHMAC,AM
143,RHOTOM,AM
144,SAPDIS,AM
145,SAUTRI,AM
146,SCHCHI,AM
147,SCHOCT,AM
148,SCHSUP,AM
149,SLOSIN,AM
150,STELAN,AM
151,STYFAB,AM
152,SYMADE,AM
153,SYMANO,AM
154,SYMCAU,AM
155,SYMCON,AM
156,SYMDEN,AM
157,SYMGLA,AM
158,SYMHAI,AM
159,SYMLAN,AM
160,SYMLAU,AM
161,SYMPSU,AM
162,SYMWIK,AM
163,SYZACU,AM
164,SYZCHA,AM
165,SYZHAN,AM
166,SYZREH,AM
167,TERGYM,AM
168,TERKWA,AM
169,TETGLA,AM
170,TOXVER,AM
171,TRETOM,AM
172,TSOODO,AM
173,TURARG,AM
174,VERSOL,AM
175,VIBSEM,AM
176,VITQUI,AM
177,WENUVA,AM
178,WIKNUT,AM
179,XANHAI,AM
180,ZANAVI,AM
181,ZANMYR,AM
182,ZIZJUJ,AM
183,BETLUM,EcM
184,CASCAR,EcM
185,CASEYR,EcM
186,CASFAB,EcM
187,CASFIS,EcM
188,CASFOR,EcM
189,CASHEN,EcM
190,CASNIG,EcM
191,CYCCHU,EcM
192,CYCHUI,EcM
193,CYCMYR,EcM
194,LITCOR,EcM
195,LITHAI,EcM
196,LITLIT,EcM
197,LITLOH,EcM
198,LITUVA,EcM
199,PINMAS,EcM
200,QUEBAM,EcM
201,QUEFLE,EcM
202,QUELIT,EcM
203,BAEFRU,EcM-AM
204,CRASCL,ErM
205,RHOMOU,ErM
206,RHOSIM,ErM
207,HELCOC,NM
208,HELKWA,NM
209,HELRET,NM
210,CAPVER,NM-AM
211,MYRRUB,NM-AM
212,TARMOL,NM-AM
213,RANCAN,uncertain
