,sp,tpk
1,ACROPE,AM
2,ADENMI,AM
3,ADINPI,AM
4,AIDICA,AM
5,AIDIPY,AM
6,AILAFO,AM
7,ALANCH,AM
8,ALCHTR,AM
9,ALLELE,AM
10,ANTICH,AM
11,ANTIFO,AM
12,ANTIJA,AM
13,ANTIVE,AM
14,APORDI,AM
15,AQUISI,AM
16,ARCHCL,AM
17,ARCHLU,AM
18,ARDIHA,AM
19,ARDILI,AM
20,ARDIQU,AM
21,ARTOHY,AM
22,ARTOST,AM
23,ARTOTO,AM
24,BISCJA,AM
25,BLASCO,AM
26,BREYFR,AM
27,BRIDIN,AM
28,BRIDTO,AM
29,CALLBR,AM
30,CALLFO,AM
31,CALLKO,AM
32,CALLRU,AM
33,CAMECA,AM
34,CAMEKI,AM
35,CANAAL,AM
36,CANTDI,AM
37,CARABR,AM
38,CASEVE,AM
39,CELTTI,AM
40,CHOEAX,AM
41,CINNCA,AM
42,CINNPA,AM
43,CLEINE,AM
44,CLERCY,AM
45,CRATCO,AM
46,CROTLA,AM
47,CRYPCO,AM
48,CUNNLA,AM
49,DAPHCA,AM
50,DAPHOL,AM
51,DENDHO,AM
52,DENDPR,AM
53,DICHFE,AM
54,DIOSER,AM
55,DIOSKA,AM
56,DIOSMO,AM
57,DIPLDU,AM
58,ELAECH,AM
59,ELAENI,AM
60,ELAESY,AM
61,ENDOCH,AM
62,EUON01,AM
63,EURYDI,AM
64,EURYNI,AM
65,EUSTOB,AM
66,FICUFI,AM
67,FICUHI,AM
68,FICUNE,AM
69,FICUPY,AM
70,FICUSU,AM
71,FICUV1,AM
72,FICUV2,AM
73,FICUV3,AM
74,FORTHI,AM
75,GARCOB,AM
76,GARDJA,AM
77,GIROSU,AM
78,GLOCER,AM
79,GLOCHI,AM
80,GLOCLA,AM
81,GLOCWR,AM
82,GLOCZE,AM
83,HOMACO,AM
84,HUODBI,AM
85,ILEX01,AM
86,ILEXAS,AM
87,ILEXFI,AM
88,ILEXKW,AM
89,ILEXPU,AM
90,ILEXRO,AM
91,ITEACH,AM
92,IXONRE,AM
93,LASIAT,AM
94,LASICH,AM
95,LASIFO,AM
96,LIQUFO,AM
97,LITSCU,AM
98,LITSGL,AM
99,LITSRO,AM
100,MACASA,AM
101,MACHBR,AM
102,MACHC1,AM
103,MACHCH,AM
104,MACHGA,AM
105,MACHPA,AM
106,MACHVE,AM
107,MAESPE,AM
108,MAGNCH,AM
109,MALLHO,AM
110,MALLPA,AM
111,MELASA,AM
112,MELIPT,AM
113,MELIRI,AM
114,MICRNE,AM
115,MYRSSE,AM
116,OLEATS,AM
117,ORMOPA,AM
118,OSMAMA,AM
119,PAVEHO,AM
120,PHYLEM,AM
121,PICRQU,AM
122,PITTGL,AM
123,POLYAX,AM
124,PRUNPH,AM
125,PSYCAS,AM
126,PYGETO,AM
127,REEVTH,AM
128,RHAPIN,AM
129,RHODCH,AM
130,RHODTO,AM
131,RHUSSU,AM
132,SAPIDI,AM
133,SARCLA,AM
134,SAURTR,AM
135,SCHEHE,AM
136,SCHISU,AM
137,SCOLSA,AM
138,SINOWI,AM
139,SLOASI,AM
140,STERLA,AM
141,STYROD,AM
142,SYMPCO,AM
143,SYMPGL,AM
144,SYMPLA,AM
145,SYZYBU,AM
146,SYZYCH,AM
147,SYZYHA,AM
148,SYZYJA,AM
149,SYZYLE,AM
150,SYZYRE,AM
151,TERNLU,AM
152,TURPAR,AM
153,TURPMO,AM
154,VIBUOD,AM
155,VIBUSE,AM
156,VITEQU,AM
157,WIKSNU,AM
158,ZANTAV,AM
159,CASTCA,EcM
160,CASTFA,EcM
161,CASTFI,EcM
162,CASTLA,EcM
163,ENGERO,EcM
164,LITHCO,EcM
165,LITHEL,EcM
166,LITHGL,EcM
167,LITHHA,EcM
168,PINUMA,EcM
169,ACACCO,EcM-AM
170,HELICO,NM
171,EHRELO,NM-AM
172,MYRIRU,NM-AM
