,sp,N.fixing,non.leg
1,ABARJU,y,
2,ABARLA,y,
3,ALBINI,y,
4,ANDIIN,y,
5,ANDILA,y,
6,ANDIMA,y,
7,ANDIMU,y,
8,APULLE,n,
9,BAUHBR,n,
10,BROWGR,n,
11,BROWLO,n,
12,BROWRO,n,
13,CALLCA,y,
14,CASSCO,n,
16,DALBNI,y,
17,DIALGU,n,
18,DIPLPT,y,
19,DIPLPU,y,
20,DUSSDE,y,
21,DUSSPE,y,
22,DUSSTE,y,
23,ENTEBA,y,
24,ERYNAM,y,
25,HYMAOB,n,
29,INGA4A,y,
30,INGA6C,y,
31,INGAAB,y,
32,INGAAC,y,
33,INGAAL,y,
34,INGAAU,y,
35,INGABO,y,
36,INGABR,y,
37,INGACA,y,
38,INGACI,y,
39,INGACN,y,
40,INGACO,y,
41,INGACY,y,
42,INGAHE,y,
43,INGALE,y,
44,INGAMA,y,
45,INGAMI,y,
46,INGAMU,y,
47,INGANO,y,
48,INGAOE,y,
49,INGAPO,y,
50,INGAPU,y,
51,INGARU,y,
52,INGASA,y,
53,INGASB,y,
54,INGASE,y,
55,INGASL,y,
56,INGASP,y,
57,INGASR,y,
58,INGAST,y,
59,INGATE,y,
60,INGATH,y,
61,INGATO,y,
62,INGAUE,y,
63,INGAUM,y,
64,INGAVE,y,
65,INGAVI,y,
66,INGAYA,y,
67,LECOPE,n,
68,LONCSE,y,
69,MACHAR,y,
70,MACHFI,y,
71,MACRAN,n,
72,MACRCO,n,
73,MACRST,n,
74,MACRYA,n,
75,MARMBA,n,
76,MYROBA,n,
77,ORMOAM,y,leg
78,ORMOEL,y,leg
79,ORMOPA,y,
80,PARKBA,n,
81,PARKMU,n,
82,PARKNI,n,
83,PARKVE,n,
84,PIPTPT,n,
85,PLATPI,y,
86,PLATST,y,
87,PSEPSU,y,leg
88,PTERRH,y,
89,SCHIPA,y,
90,SENNBA,n,
91,SENNMA,n,
96,SWARBO,y,
97,SWARCA,y,
98,SWARMU,y,
99,SWARSI,y,
100,TACHFO,y,
101,TACHPA,y,
102,TACHPN,y,
103,ZYGIHE,y,
104,ZYGIME,y,
